,workflow_type,task_id,time_to_buffer,dependency_wait_time,time_spent_in_queue,model_fetching_time,execution_time
63,0.0,1.0,1651.6934162169223,0.0,14205.897205065332,0.0,441.0
64,0.0,2.0,1651.6934162169223,0.0,22872.13801306239,0.0,778.0
65,0.0,3.0,1651.6907504722872,0.0,1560.63312957553,0.0,803.0
66,0.0,4.0,4015.323880047817,21286.510214976133,0.0,0.0,1.0
67,1.0,0.0,0.0043814697264679126,0.0,1648.4862113073732,0.0,560.0
68,1.0,1.0,2208.4905927770997,0.0,1799.4013288073638,0.0,27.0
69,3.0,0.0,0.4808353392204481,0.0,440.36466435194484,0.0,0.599999999999909
70,3.0,1.0,441.4454996911652,0.0,519.4547249269658,0.0,178.0
71,3.0,2.0,442.27581674950216,0.0,881.0181359382716,0.0,147.0
72,3.0,3.0,1139.7305416764677,330.563411011306,900.0,0.0,104.0
73,0.0,0.0,0.0043814697264679126,0.0,546.1248148807479,0.0,560.9999999999998
74,0.0,1.0,1107.1318620951092,0.0,1320.5888008976917,78.65325183021196,441.0
75,0.0,2.0,1107.1318620951092,0.0,1767.1469496152604,196.6331295755299,778.0
76,0.0,3.0,1107.129196350474,0.0,2091.067732247813,0.0,803.0
77,0.0,4.0,2947.376580567648,1053.8203480306393,907.0,0.0,1.0
78,2.0,0.0,0.4808353392204481,0.0,0.0,167.13816013920064,283.0
79,2.0,1.0,450.6265175921433,0.0,1206.4090000428203,0.0,26.0
80,2.0,2.0,450.6189954784211,0.0,283.5999999999999,265.4547249269656,76.0
81,2.0,3.0,1075.6737204053866,607.3665582864382,393.63344171356175,0.0,0.1999999999998181
82,1.0,0.0,0.0043814697264679126,0.0,932.443366765372,0.0,560.0
83,1.0,1.0,1492.4477482350985,0.0,1553.0507004760293,0.0,27.0
84,0.0,0.0,0.0043814697264679126,0.0,1136.9535451147642,0.0,561.0
85,0.0,1.0,1697.9605923291258,0.0,6447.776126543331,0.0,441.0
86,0.0,2.0,1697.9605923291258,0.0,5302.313098879119,0.0,777.9999999999991
87,0.0,3.0,1697.9579265844907,0.0,1075.8331295755297,0.0,803.0
88,0.0,4.0,3576.79105616002,5009.948328457072,12576.25167154293,0.0,1.0
89,3.0,0.0,0.4808353392204481,0.0,380.87528761804765,0.0,0.599999999999909
90,3.0,1.0,382.78644001560497,0.0,678.5059227639831,0.0,178.0
91,3.0,2.0,382.78644001560497,0.0,1009.8996508336259,0.0,147.0
92,3.0,3.0,1240.1226798379248,299.563411011306,857.0,0.0,104.0
93,2.0,0.0,0.4808353392204481,0.0,1454.8454977565975,0.0,283.0
94,2.0,1.0,1738.3338552095402,0.0,7707.222153947502,0.0,26.0
95,2.0,2.0,1738.326333095818,0.0,1560.63312957553,0.0,76.0
96,2.0,3.0,3374.959462671348,6096.601307542556,1349.5986924574427,0.0,0.2000000000007276
97,0.0,0.0,0.0043814697264679126,0.0,535.1214414722651,0.0,561.0
98,0.0,1.0,1096.1284886866267,0.0,1591.2544862512432,78.65325183021196,441.0
99,0.0,2.0,1096.1284886866267,0.0,2735.475496185495,0.0,778.0
100,0.0,3.0,1096.1258229419916,0.0,1560.63312957553,0.0,803.0
101,0.0,4.0,3207.038892512717,1402.56775810404,776.3523019007653,0.0,1.0
102,2.0,0.0,0.4808353392204481,0.0,0.0,167.13816013920064,283.0
103,2.0,1.0,450.6265175921433,0.0,1142.9172549900254,0.0,26.0
104,2.0,2.0,450.6189954784211,0.0,283.5999999999999,265.45472492696535,76.0
105,2.0,3.0,1075.6737204053863,543.8748132336436,174.12518676635636,0.0,0.1999999999998181
106,1.0,0.0,0.0043814697264679126,0.0,499.6788027816508,0.0,560.0
107,1.0,1.0,1059.6831842513773,0.0,797.3974486458173,0.0,27.0
108,1.0,0.0,0.0043814697264679126,0.0,697.6597736527733,0.0,560.0
109,1.0,1.0,1257.6641551224998,0.0,1127.3974486458173,0.0,27.0
110,3.0,0.0,0.4808353392204481,0.0,426.80053717923283,0.0,0.599999999999909
111,3.0,1.0,428.71168957679015,0.0,767.0141777111883,0.0,178.0
112,3.0,2.0,428.71168957679015,0.0,1067.407905780831,0.0,147.0
113,3.0,3.0,1374.5561843463151,268.563411011306,814.0,0.0,104.0
114,0.0,0.0,0.0043814697264679126,0.0,1099.9542301502572,0.0,561.0
