,job_id,load_info_delay,placement_info_delay,req_inter_arrival_delay,workflow_type,scheduler_type,slowdown,response_time,num_activation_dags
144,144,0,0,5,1,decentralheft,92.74093379913458,2782.2280139740374,1836
145,145,0,0,5,3,decentralheft,40.941952729225875,1846.482068088087,1836
146,146,0,0,5,2,decentralheft,65.49827006508009,753.230105748421,1836
147,147,0,0,5,1,decentralheft,86.0326723542741,2580.980170628223,1836
148,148,0,0,5,3,decentralheft,42.592246015536944,1920.9102953007161,1836
149,149,0,0,5,1,decentralheft,88.58379750901253,2657.5139252703757,1836
150,150,0,0,5,0,decentralheft,6.93034647584971,126.82534050804969,1836
151,151,0,0,5,0,decentralheft,7.118246050651762,130.26390272692726,1836
152,152,0,0,5,3,decentralheft,46.53475060113541,2098.717252111207,1836
153,153,0,0,5,1,decentralheft,93.50121311419913,2805.036393425974,1836
154,154,0,0,5,0,decentralheft,7.417482654689709,135.7399325808217,1836
155,155,0,0,5,1,decentralheft,88.43176387487544,2652.952916246263,1836
156,156,0,0,5,1,decentralheft,89.18239981195025,2675.4719943585073,1836
157,157,0,0,5,1,decentralheft,87.06982596787644,2612.0947790362934,1836
158,158,0,0,5,3,decentralheft,33.04843318682995,1490.484336726031,1836
159,159,0,0,5,3,decentralheft,33.14465241057386,1494.8238237168812,1836
160,160,0,0,5,3,decentralheft,33.243543177247346,1499.2837972938555,1836
161,161,0,0,5,3,decentralheft,33.334596831439434,1503.3903170979186,1836
162,162,0,0,5,2,decentralheft,66.51832931184798,764.9607870862517,1836
163,163,0,0,5,1,decentralheft,95.74713687327741,2872.4141061983223,1836
164,164,0,0,5,2,decentralheft,65.49827006508009,753.230105748421,1836
165,165,0,0,5,0,decentralheft,6.405117517541594,117.21365057101119,1836
166,166,0,0,5,2,decentralheft,74.5522470042465,857.3508405488346,1836
167,167,0,0,5,2,decentralheft,67.11837320075517,771.8612918086844,1836
168,168,0,0,5,3,decentralheft,29.29860939659701,1321.3672837865251,1836
169,169,0,0,5,1,decentralheft,89.33801420687925,2680.1404262063775,1836
170,170,0,0,5,1,decentralheft,90.58647903538092,2717.5943710614274,1836
171,171,0,0,5,1,decentralheft,88.2531245126789,2647.593735380367,1836
172,172,0,0,5,0,decentralheft,6.451742826410956,118.0668937233205,1836
173,173,0,0,5,1,decentralheft,89.46413676928736,2683.924103078621,1836
174,174,0,0,5,2,decentralheft,66.09827006508009,760.130105748421,1836
175,175,0,0,5,2,decentralheft,66.07550860858312,759.8683489987059,1836
176,176,0,0,5,2,decentralheft,65.70762567289637,755.6376952383082,1836
177,177,0,0,5,0,decentralheft,6.1893562484793865,113.26521934717277,1836
178,178,0,0,5,0,decentralheft,6.701466191227617,122.6368312994654,1836
179,179,0,0,5,2,decentralheft,65.49827006508009,753.230105748421,1836
180,180,0,0,5,0,decentralheft,6.532295092825611,119.54100019870867,1836
181,181,0,0,5,3,decentralheft,32.03209803189924,1444.6476212386558,1836
182,182,0,0,5,2,decentralheft,66.97450623308093,770.2068216804307,1836
183,183,0,0,5,0,decentralheft,6.89185035184434,126.12086143875143,1836
184,184,0,0,5,2,decentralheft,65.93971469242611,758.3067189629003,1836
185,185,0,0,5,3,decentralheft,29.64951637777354,1337.1931886375867,1836
186,186,0,0,5,0,decentralheft,7.321245908841882,133.97880013180645,1836
187,187,0,0,5,0,decentralheft,7.762595282537493,142.05549367043614,1836
188,188,0,0,5,2,decentralheft,66.26569537804535,762.0554968475215,1836
189,189,0,0,5,2,decentralheft,66.25956577816673,761.9850064489174,1836
190,190,0,0,5,0,decentralheft,8.234523339325127,150.69177710964985,1836
191,191,0,0,5,0,decentralheft,8.74228796994882,159.9838698500634,1836
192,192,0,0,5,2,decentralheft,67.1225715169326,771.9095724447249,1836
193,193,0,0,5,1,decentralheft,86.05245912762666,2581.5737738288,1836
194,194,0,0,5,3,decentralheft,36.27500238923716,1636.002607754596,1836
195,195,0,0,5,2,decentralheft,66.84327386718786,768.6976494726604,1836
196,196,0,0,5,3,decentralheft,40.17533659438065,1811.9076804065676,1836
197,197,0,0,5,2,decentralheft,66.02442717736271,759.2809125396712,1836
198,198,0,0,5,3,decentralheft,34.54171839920057,1557.8314998039457,1836
199,199,0,0,5,3,decentralheft,34.73170040318942,1566.399688183843,1836
200,200,0,0,5,3,decentralheft,34.925112502571324,1575.1225738659668,1836
201,201,0,0,5,1,decentralheft,93.37988224576908,2801.3964673730725,1836
202,202,0,0,5,3,decentralheft,38.855324577584376,1752.3751384490554,1836
203,203,0,0,5,1,decentralheft,89.6327687437008,2688.983062311024,1836
204,204,0,0,5,3,decentralheft,40.59835641031526,1830.9858741052183,1836
205,205,0,0,5,3,decentralheft,39.4091248058067,1777.351528741882,1836
206,206,0,0,5,0,decentralheft,6.592603785231871,120.64464926974324,1836
207,207,0,0,5,2,decentralheft,65.49827006508009,753.230105748421,1836
208,208,0,0,5,0,decentralheft,5.044896265277513,92.3216016545785,1836
209,209,0,0,5,2,decentralheft,65.49827006508009,753.230105748421,1836
210,210,0,0,5,3,decentralheft,35.180104139230515,1586.6226966792963,1836
211,211,0,0,5,1,decentralheft,86.89577569227322,2606.8732707681966,1836
212,212,0,0,5,0,decentralheft,5.1085331100704545,93.48615591428933,1836
213,213,0,0,5,0,decentralheft,5.5401856450551685,101.38539730450958,1836
214,214,0,0,5,3,decentralheft,43.3163027021584,1953.565251867344,1836
215,215,0,0,5,3,decentralheft,43.804136127117744,1975.5665393330103,1836
216,216,0,0,5,0,decentralheft,6.030288012409913,110.35427062710141,1836
217,217,0,0,5,1,decentralheft,86.50293072357695,2595.0879217073084,1836
218,218,0,0,5,2,decentralheft,66.22615292313907,761.6007586160993,1836
219,219,0,0,5,0,decentralheft,6.258072806401695,114.52273235715103,1836
220,220,0,0,5,3,decentralheft,43.77876197273003,1974.4221649701244,1836
221,221,0,0,5,2,decentralheft,65.49827006508009,753.230105748421,1836
222,222,0,0,5,2,decentralheft,66.0278759724854,759.3205736835821,1836
223,223,0,0,5,0,decentralheft,3.649905110261837,66.79326351779162,1836
224,224,0,0,5,0,decentralheft,4.1156610403054295,75.31659703758936,1836
225,225,0,0,5,3,decentralheft,37.197499562460365,1677.6072302669625,1836
226,226,0,0,5,1,decentralheft,85.40160624572914,2562.048187371874,1836
227,227,0,0,5,1,decentralheft,85.3788378951495,2561.365136854485,1836
228,228,0,0,5,0,decentralheft,4.40513241268376,80.61392315211282,1836
229,229,0,0,5,2,decentralheft,65.49827006508009,753.2301057484211,1836
230,230,0,0,5,1,decentralheft,85.12917881125891,2553.875364337767,1836
231,231,0,0,5,0,decentralheft,4.372814576272653,80.02250674578954,1836
232,232,0,0,5,2,decentralheft,66.0982700650801,760.1301057484211,1836
233,233,0,0,5,1,decentralheft,86.15868446153844,2584.760533846153,1836
234,234,0,0,5,2,decentralheft,65.89219206208273,757.7602087139514,1836
235,235,0,0,5,1,decentralheft,84.82206933996919,2544.6620801990757,1836
236,236,0,0,5,2,decentralheft,65.63044308012441,754.7500954214307,1836
237,237,0,0,5,2,decentralheft,66.48581823739548,764.586909730048,1836
238,238,0,0,5,0,decentralheft,3.1821228728796656,58.23284857369788,1836
239,239,0,0,5,0,decentralheft,3.596151934796321,65.80958040677268,1836
240,240,0,0,5,3,decentralheft,36.61816002053189,1651.4790169259882,1836
241,241,0,0,5,3,decentralheft,36.74684129728172,1657.2825425074054,1836
242,242,0,0,5,0,decentralheft,3.8067008858424143,69.66262621091619,1836
243,243,0,0,5,2,decentralheft,65.48145522628366,753.0367351022621,1836
244,244,0,0,5,3,decentralheft,37.81613013723483,1705.507469189291,1836
245,245,0,0,5,1,decentralheft,86.07437926948573,2582.231378084572,1836
246,246,0,0,5,1,decentralheft,86.058573111729,2581.7571933518702,1836
247,247,0,0,5,0,decentralheft,4.073801502824793,74.5505675016937,1836
248,248,0,0,5,2,decentralheft,65.49827006508009,753.230105748421,1836
249,249,0,0,5,0,decentralheft,3.6245767301111087,66.32975416103329,1836
250,250,0,0,5,3,decentralheft,32.017135037646455,1443.9727901978551,1836
251,251,0,0,5,0,decentralheft,4.025617271240103,73.66879606369389,1836
252,252,0,0,5,2,decentralheft,65.49827006508009,753.230105748421,1836
253,253,0,0,5,0,decentralheft,4.153095263841444,76.00164332829843,1836
254,254,0,0,5,0,decentralheft,4.6482167060084905,85.06236571995538,1836
255,255,0,0,5,0,decentralheft,5.098552791794241,93.3035160898346,1836
256,256,0,0,5,1,decentralheft,85.44856459792682,2563.4569379378045,1836
257,257,0,0,5,1,decentralheft,85.4345564728301,2563.036694184903,1836
258,258,0,0,5,1,decentralheft,85.3901621597768,2561.7048647933043,1836
259,259,0,0,5,2,decentralheft,65.49827006508008,753.2301057484209,1836
260,260,0,0,5,1,decentralheft,85.31202256268476,2559.360676880543,1836
261,261,0,0,5,3,decentralheft,41.82740176063247,1886.4158194045244,1836
262,262,0,0,5,0,decentralheft,3.3557974635505534,61.41109358297513,1836
263,263,0,0,5,0,decentralheft,3.478196097534401,63.65098858487954,1836
264,264,0,0,5,3,decentralheft,51.69726258855041,2331.5465427436234,1836
265,265,0,0,5,0,decentralheft,3.8177760530252307,69.86530177036173,1836
266,266,0,0,5,3,decentralheft,41.57267230763287,1874.9275210742426,1836
267,267,0,0,5,0,decentralheft,4.258764470974978,77.93538981884211,1836
268,268,0,0,5,3,decentralheft,41.763594679254616,1883.5381200343832,1836
269,269,0,0,5,2,decentralheft,65.50007848251232,753.2509025488916,1836
270,270,0,0,5,2,decentralheft,65.49827006508009,753.230105748421,1836
271,271,0,0,5,0,decentralheft,3.894665091433103,71.27237117322579,1836
272,272,0,0,5,3,decentralheft,35.75333083093567,1612.4752204751987,1836
273,273,0,0,5,3,decentralheft,37.22932536544877,1679.0425739817397,1836
274,274,0,0,5,1,decentralheft,85.57823373594017,2567.3470120782054,1836
275,275,0,0,5,3,decentralheft,39.52071925303543,1782.384438311898,1836
276,276,0,0,5,0,decentralheft,4.425934551213742,80.99460228721148,1836
277,277,0,0,5,2,decentralheft,81.60047391883815,938.4054500666388,1836
278,278,0,0,5,1,decentralheft,87.48156037538583,2624.4468112615746,1836
279,279,0,0,5,1,decentralheft,88.60294755339578,2658.0884266018734,1836
280,280,0,0,5,0,decentralheft,3.8232695313664298,69.96583242400567,1836
281,281,0,0,5,0,decentralheft,4.28945874498604,78.49709503324453,1836
282,282,0,0,5,3,decentralheft,35.18642390064206,1586.907717918957,1836
283,283,0,0,5,0,decentralheft,4.483474800145392,82.04758884266067,1836
284,284,0,0,5,1,decentralheft,86.09568501651978,2582.8705504955933,1836
285,285,0,0,5,2,decentralheft,68.21012828107781,784.4164752323949,1836
286,286,0,0,5,2,decentralheft,81.46071077690405,936.7981739343966,1836
287,287,0,0,5,1,decentralheft,86.26071122886998,2587.8213368660995,1836
288,288,0,0,5,1,decentralheft,85.99452314159595,2579.8356942478786,1836
289,289,0,0,5,0,decentralheft,3.3353148239257746,61.036261277841675,1836
290,290,0,0,5,2,decentralheft,67.91996271821198,781.0795712594377,1836
291,291,0,0,5,2,decentralheft,65.49942791507584,753.2434210233722,1836
292,292,0,0,5,0,decentralheft,3.269764634030701,59.83669280276183,1836
293,293,0,0,5,1,decentralheft,85.82104685093857,2574.6314055281573,1836
